name,actualized,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h
Brno-Tuřany,2023-05-23T09:59:45Z,7.5,4.8,,24.6,81,18.5,14.9
Brno - Dětská nemocnice,2023-05-23T09:59:45Z,,17.4,,23.5,67.8,19.6,9.3
Brno-Výstaviště,2023-05-23T09:59:45Z,,25.8,,,,57.1,0
Brno-Úvoz (hot spot),2023-05-23T09:59:45Z,,56.2,423,32.0,,21.6,14.3
Brno-Svatoplukova,2023-05-23T09:59:45Z,,38.4,277,60.2,,31.2,18.7
Brno-Arboretum,2023-05-23T09:59:45Z,,22.4,,31.7,62.6,18.7,13.1
Brno-Lány,2023-05-23T09:59:45Z,10.9,14.2,262,27.7,72.2,21.1,13.9
Brno-Komárov,2023-05-23T09:59:45Z,,17.6,,6.4,,4.0,4.4
Brno-Líšeň,2023-05-23T09:59:45Z,,,,25.7,,19.0,14.4
Brno-Úvoz (hot spot),2023-05-23T10:59:45Z,,49.4,412,26.9,,21.7,14.2
Brno-Výstaviště,2023-05-23T10:59:45Z,,19.3,,,,57.0,0
Brno-Komárov,2023-05-23T10:59:45Z,,12.8,,6.4,,4.0,4.8
Brno-Líšeň,2023-05-23T10:59:45Z,,,,21.3,,19.3,19.8
Brno-Svatoplukova,2023-05-23T10:59:45Z,,36,262,79.7,,33.1,33.4
Brno-Lány,2023-05-23T10:59:45Z,10.7,7.5,248,22.6,89.6,21.2,12.8
Brno - Dětská nemocnice,2023-05-23T10:59:45Z,,10.1,,17.9,92,19.5,16.4
Brno-Arboretum,2023-05-23T10:59:45Z,,10.7,,25.3,88.2,18.9,13.1
Brno-Tuřany,2023-05-23T10:59:45Z,6.1,4.2,,24.1,95.6,18.6,22.4
Brno - Dětská nemocnice,2023-05-23T11:59:45Z,,7.7,,27.3,101.3,19.6,14
Brno-Úvoz (hot spot),2023-05-23T11:59:45Z,,39.2,427,23.2,,21.8,12.5
Brno-Lány,2023-05-23T11:59:45Z,10.9,6.1,233,24.2,98.4,21.0,12.9
Brno-Líšeň,2023-05-23T11:59:45Z,,,,25.0,,19.5,18.9
Brno-Arboretum,2023-05-23T11:59:45Z,,6.5,,22.3,102.7,18.9,12.5
Brno-Výstaviště,2023-05-23T11:59:45Z,,21.2,,,,54.0,0
Brno-Svatoplukova,2023-05-23T11:59:45Z,,40.2,248,32.4,,33.3,12.8
Brno-Komárov,2023-05-23T11:59:45Z,,12.6,,5.1,,4.0,4
Brno-Tuřany,2023-05-23T11:59:45Z,7.2,3.6,,16.1,100.9,18.3,14.6
Brno-Výstaviště,2023-05-23T13:59:45Z,,41.5,,,,0.0,0
Brno-Tuřany,2023-05-23T13:59:45Z,6.4,6.3,,11.8,97.6,18.4,6.2
Brno-Arboretum,2023-05-23T13:59:45Z,,16.1,,20.6,82.6,19.0,11.1
Brno-Lány,2023-05-23T13:59:45Z,10.1,15.5,204,26.3,86.2,21.3,15.3
Brno-Úvoz (hot spot),2023-05-23T13:59:45Z,,45.5,438,23.3,,21.8,12.3
Brno-Svatoplukova,2023-05-23T13:59:45Z,,34.8,189,46.0,,33.9,15.9
Brno - Dětská nemocnice,2023-05-23T13:59:45Z,,,,25.9,85.6,20.2,15.8
Brno-Komárov,2023-05-23T13:59:45Z,,30.4,,10.5,,4.3,5.2
Brno-Líšeň,2023-05-23T13:59:45Z,,,,13.1,,19.5,10.5
Brno-Lány,2023-05-23T14:59:45Z,10.1,19.3,218,19.8,68.6,21.2,14.9
Brno-Komárov,2023-05-23T14:59:45Z,,40.9,,4.1,,4.3,3.8
Brno-Tuřany,2023-05-23T14:59:45Z,6.1,22.4,,10.7,71.4,18.3,5.3
Brno-Arboretum,2023-05-23T14:59:45Z,,22,,21.1,67.8,19.1,12
Brno-Výstaviště,2023-05-23T14:59:45Z,,45.7,,,,0.0,0
Brno - Dětská nemocnice,2023-05-23T14:59:45Z,,25.1,,24.4,55.1,20.7,19.6
Brno-Úvoz (hot spot),2023-05-23T14:59:45Z,,70.4,447,18.5,,21.8,10.7
Brno-Líšeň,2023-05-23T14:59:45Z,,,,17.9,,19.7,5.8
Brno-Svatoplukova,2023-05-23T14:59:45Z,,55.5,189,27.2,,34.1,18.3
Brno-Arboretum,2023-05-23T16:59:45Z,,19.1,,16.6,59.5,19.0,10.2
Brno-Svatoplukova,2023-05-23T16:59:45Z,,42.8,218,30.5,,34.4,23
Brno-Lány,2023-05-23T16:59:45Z,9.9,18.7,218,19.2,67.4,21.0,14.5
Brno-Úvoz (hot spot),2023-05-23T16:59:45Z,,41.3,411,17.5,,21.4,9.9
Brno-Výstaviště,2023-05-23T16:59:45Z,,35,,,,0.0,0
Brno - Dětská nemocnice,2023-05-23T16:59:45Z,,17,,19.3,62.2,20.6,11
Brno-Tuřany,2023-05-23T16:59:45Z,5.9,13,,16.1,72.8,18.5,8.1
Brno-Komárov,2023-05-23T16:59:45Z,,27.5,,2.7,,4.2,2.6
Brno-Líšeň,2023-05-23T16:59:45Z,,,,36.8,,20.9,16.3
Brno-Komárov,2023-05-23T17:59:45Z,,24.3,,1.9,,4.1,1.8
Brno-Tuřany,2023-05-23T17:59:45Z,5.9,9.6,,25.4,79.2,19.2,9.6
Brno - Dětská nemocnice,2023-05-23T17:59:45Z,,12.8,,22.0,66.4,20.9,9.2
Brno-Líšeň,2023-05-23T17:59:45Z,,,,21.5,,21.3,23.1
Brno-Výstaviště,2023-05-23T17:59:45Z,,31.6,,,,0.0,0
Brno-Lány,2023-05-23T17:59:45Z,8.5,27.4,218,15.8,63,20.8,12.2
Brno-Arboretum,2023-05-23T17:59:45Z,,13.6,,12.8,66.2,18.9,8.2
Brno-Svatoplukova,2023-05-23T17:59:45Z,,51.1,233,21.3,,33.6,16.1
Brno-Úvoz (hot spot),2023-05-23T17:59:45Z,,50.9,421,12.5,,21.1,8.5
Brno - Dětská nemocnice,2023-05-23T18:59:45Z,,13.6,,19.0,53.1,21.0,12
Brno-Výstaviště,2023-05-23T18:59:45Z,,30.4,,,,0.0,0
Brno-Arboretum,2023-05-23T18:59:45Z,,14.7,,12.7,60,18.8,8.4
Brno-Svatoplukova,2023-05-23T18:59:45Z,,43.4,248,22.3,,33.1,17.6
Brno-Komárov,2023-05-23T18:59:45Z,,23.5,,2.0,,4.0,2
Brno-Úvoz (hot spot),2023-05-23T18:59:45Z,,39.8,430,13.9,,20.9,9.1
Brno-Lány,2023-05-23T18:59:45Z,9.1,23.9,233,16.1,54.3,20.6,12.6
Brno-Tuřany,2023-05-23T18:59:45Z,5.9,15.5,,15.4,61.2,19.4,15
Brno-Líšeň,2023-05-23T18:59:45Z,,,,22.0,,21.2,15.3
Brno-Výstaviště,2023-05-23T19:59:45Z,,29.8,,,,0.0,0
Brno-Svatoplukova,2023-05-23T19:59:45Z,,45,277,23.4,,32.6,17.8
Brno-Líšeň,2023-05-23T19:59:46Z,,,,26.2,,21.5,11.4
Brno-Lány,2023-05-23T19:59:46Z,9.3,18.4,262,20.0,36.7,20.7,14.7
Brno-Úvoz (hot spot),2023-05-23T19:59:46Z,,35.8,434,17.7,,20.7,10.3
Brno - Dětská nemocnice,2023-05-23T19:59:46Z,,18.7,,19.4,38.7,21.1,8.3
