OBJECTID,Lokalita,PM10,PM2_5,NO_,NO2,Nox,O3,SO2,CO,RychlostVetru,Vlhkost,Teplota,X,Y,Datum
1,CHR,15.125,11.9375,1.03125,18.20625,19.80625,72.225,4.375,234.546666666667,1.46875,80.9375,6.14375,49.1259,16.655,2022/04/19 00:00:00+00
2,CHR,25.0416666666667,20.7916666666667,3.8375,20.4,26.225,42.5,5.00416666666667,247.004166666667,1.3,68,7.38333333333334,49.1259,16.655,2022/04/20 00:00:00+00
3,CHR,25.7916666666667,20.125,2.25833333333333,18.6916666666667,21.6875,47.2125,5.325,231.1875,1.30833333333333,63.2916666666667,10.6583333333333,49.1259,16.655,2022/04/21 00:00:00+00
4,CHR,39.7916666666667,29.375,1.025,22.6958333333333,24.175,48.0541666666667,16.7916666666667,331.025,2.22916666666667,80.25,9.62083333333333,49.1259,16.655,2022/04/22 00:00:00+00
5,CHR,20.2083333333333,17.5416666666667,0.183333333333333,12.2083333333333,11.9333333333333,70.125,5.86666666666667,254.891666666667,1.84166666666667,69.4166666666667,12.575,49.1259,16.655,2022/04/23 00:00:00+00
6,CHR,13.375,10.0833333333333,0.00416666666666667,13.1125,12.5416666666667,69.8791666666667,5.21666666666667,192.125,1.94583333333333,78.5833333333333,13.5541666666667,49.1259,16.655,2022/04/24 00:00:00+00
7,CHR,9.04166666666667,6.91666666666667,3.25833333333333,22.4416666666667,27.3958333333333,46.0208333333333,5.14583333333333,218.766666666667,1.22083333333333,85.75,10.6041666666667,49.1259,16.655,2022/04/25 00:00:00+00
8,CHR,12.9166666666667,9.58333333333333,1.70833333333333,15.8125,18.1791666666667,67.1125,5.02916666666667,218.208333333333,1.225,69.2916666666667,11.9083333333333,49.1259,16.655,2022/04/26 00:00:00+00
9,CHR,22.75,12.625,0.858333333333334,17.2875,18.4916666666667,75.6083333333333,6.0875,223.1,1.96666666666667,60.5,11.8208333333333,49.1259,16.655,2022/04/27 00:00:00+00
10,CHR,22.4583333333333,12.1666666666667,2.55833333333333,24.85,28.5375,70.7791666666667,5.1375,223.854166666667,1.44583333333333,55.375,12.6875,49.1259,16.655,2022/04/28 00:00:00+00
11,CHR,23.125,14.0833333333333,3.6,24.1166666666667,29.3583333333333,68.5416666666666,4.95,220.908333333333,0.820833333333333,57.2083333333333,12.6666666666667,49.1259,16.655,2022/04/29 00:00:00+00
12,CHR,23.7916666666667,16.875,0.575,18.2708333333333,18.6833333333333,86.2208333333333,6.8375,238.266666666667,1.4,54.5416666666667,13.9958333333333,49.1259,16.655,2022/04/30 00:00:00+00
