,Unnamed: 0,ogcfid,druh_bio_kod,spravce_tid,nazev,nazev_cz,stromy_pro_zivot,last_date,datum_exportu,ObjectId,GlobalID,y,x
0,0,263689,Soliterní stromy - jehličnaté,NOVÝ LÍSKOVEC MČ,Pinus sylvestris,borovice lesní,ne,"Tue, 16 Jan 2024 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",1,87c56432-ea79-492d-bd4b-476d77bdfea4,6305184.4727124,5817
1,1,203932,Soliterní stromy - listnaté,MALOMĚŘICE A OBŘANY MČ,,,ne,"Mon, 09 Sep 2019 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",2,7a170bcf-ac32-479f-9f0a-f1e93f364e7d,6313470.8122910,6096
2,2,263750,Soliterní stromy - listnaté,NOVÝ LÍSKOVEC MČ,Carpinus betulus ’Fastigiata’,habr obecný kultivar,ne,"Wed, 17 Jan 2024 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",3,e10669d4-1386-4e86-b0a4-c07205627fab,6305251.124409,2022
3,3,203933,Soliterní stromy - listnaté,MALOMĚŘICE A OBŘANY MČ,,,ne,"Mon, 09 Sep 2019 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",4,7d7a7a06-b03b-42dd-8c03-41af307a85fc,6313279.1862844,6263
4,4,242450,Soliterní stromy - listnaté,VEŘEJNÁ ZELEŇ,Platanus x hispanica,platan javorolistý,ano,"Fri, 27 Oct 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",5,24b1cd5f-575b-4e98-a88f-00c6a9269b00,6311534.6560542,7158
5,5,203934,Soliterní stromy - listnaté,MALOMĚŘICE A OBŘANY MČ,,,ne,"Mon, 09 Sep 2019 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",6,77f58859-2606-41e3-8c89-e6218a904270,6313280.0385520,9504
6,6,262868,Soliterní stromy - listnaté,BRNO-JIH MČ,,,ne,"Tue, 07 Nov 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",7,394d12ed-301f-44e9-ad3f-cbef9f0f1640,6306328.6765617,5803
7,6,262868,Soliterní stromy - listnaté,BRNO-JIH MČ,,,ne,"Tue, 07 Nov 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",7,394d12ed-301f-44e9-ad3f-cbef9f0f1640,6306387.8945777,88897
8,6,262868,Soliterní stromy - listnaté,BRNO-JIH MČ,,,ne,"Tue, 07 Nov 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",7,394d12ed-301f-44e9-ad3f-cbef9f0f1640,6306368.0870673,49846
9,7,203935,Soliterní stromy - listnaté,MALOMĚŘICE A OBŘANY MČ,,,ne,"Mon, 09 Sep 2019 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",8,1087cc58-c23c-41f5-924b-276a03f6c363,6313269.2658965,0435
10,8,203936,Soliterní stromy - listnaté,MALOMĚŘICE A OBŘANY MČ,,,ne,"Mon, 09 Sep 2019 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",9,2eda5b94-4331-41d8-9f48-8b3139847236,6313271.3454270,2881
11,9,263372,Soliterní keře - jehličnaté,BRNO-JIH MČ,,,ne,"Thu, 23 Nov 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",10,6380a59c-7e3a-45c1-af7a-9cd294ed68e9,6299483.088740,8085
12,9,263372,Soliterní keře - jehličnaté,BRNO-JIH MČ,,,ne,"Thu, 23 Nov 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",10,6380a59c-7e3a-45c1-af7a-9cd294ed68e9,6299496.9239538,6623
13,9,263372,Soliterní keře - jehličnaté,BRNO-JIH MČ,,,ne,"Thu, 23 Nov 2023 00:00:00 GMT","Thu, 25 Apr 2024 00:00:00 GMT",10,6380a59c-7e3a-45c1-af7a-9cd294ed68e9,6299469.9172294,67703
