Coordinates,Month,Place Name,so2_1h,no2_1h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h,co_8h
"(1858614.374614, 6300176.732289)",5,Brno-Tuřany,{'mean': 4.44},{'mean': 8.511967213114753},{'mean': 12.321036106750393},{'mean': 76.07980295566502},{'mean': 12.519218749999999},{'mean': 8.20421875},
"(1858614.374614, 6300176.732289)",6,Brno-Tuřany,{'mean': 6.151973684210526},{'mean': 8.895394736842105},{'mean': 16.18193548387097},{'mean': 68.29310344827586},{'mean': 13.415897435897435},{'mean': 8.23025641025641},
"(1858614.374614, 6300176.732289)",7,Brno-Tuřany,{'mean': 6.169620253164558},{'mean': 7.855696202531645},{'mean': 18.07375},{'mean': 83.07402597402596},{'mean': 14.061481481481481},{'mean': 3.7070370370370376},
"(1858614.374614, 6300176.732289)",8,Brno-Tuřany,{'mean': 4.418050541516245},{'mean': 9.093165467625898},{'mean': 15.968989547038328},{'mean': 67.0822695035461},{'mean': 14.437786259541983},{'mean': 5.856870229007635},
"(1858614.374614, 6300176.732289)",9,Brno-Tuřany,{'mean': 2.8524999999999996},{'mean': 8.879999999999999},{'mean': 23.286776859504133},{'mean': 60.65508474576272},{'mean': 22.450806451612902},{'mean': 14.634677419354839},
"(1849716.607715, 6309329.681993)",5,Brno - Dětská nemocnice,,{'mean': 13.770792079207919},{'mean': 13.198110236220474},{'mean': 72.01165845648605},{'mean': 13.42109375},{'mean': 7.652812499999999},
"(1849716.607715, 6309329.681993)",6,Brno - Dětská nemocnice,,{'mean': 15.696688741721854},{'mean': 15.591719745222928},{'mean': 66.2935064935065},{'mean': 13.051794871794874},{'mean': 7.8082051282051275},
"(1849716.607715, 6309329.681993)",7,Brno - Dětská nemocnice,,{'mean': 12.989473684210525},{'mean': 16.142500000000002},{'mean': 79.95250000000001},{'mean': 13.465555555555556},{'mean': 3.3255555555555554},
"(1849716.607715, 6309329.681993)",8,Brno - Dětská nemocnice,,{'mean': 14.304059040590404},{'mean': 17.842508710801393},{'mean': 65.14239130434783},{'mean': 16.274045801526718},{'mean': 5.937595419847328},
"(1849716.607715, 6309329.681993)",9,Brno - Dětská nemocnice,,{'mean': 20.554237288135592},{'mean': 26.16991869918699},{'mean': 49.73559322033899},{'mean': 25.1508064516129},{'mean': 14.717741935483875},
"(1844512.53284, 6307097.572357)",5,Brno-Výstaviště,,{'mean': 20.1632183908046},{'mean': 47.50326797385621},,{'mean': 36.83275862068965},{'mean': 10.518965517241382},
"(1844512.53284, 6307097.572357)",6,Brno-Výstaviště,,{'mean': 19.615286624203822},{'mean': 42.42866242038217},,{'mean': 32.44615384615384},{'mean': 9.648205128205127},
"(1844512.53284, 6307097.572357)",7,Brno-Výstaviště,,{'mean': 23.2325},{'mean': 41.519999999999996},,{'mean': 27.455555555555556},{'mean': 3.5392592592592593},
"(1844512.53284, 6307097.572357)",8,Brno-Výstaviště,,{'mean': 19.73253012048193},{'mean': 23.413253012048195},,{'mean': 6.307251908396947},{'mean': 0.8547709923664123},
"(1847195.889165, 6308540.207705)",5,Brno-Úvoz (hot spot),,{'mean': 27.023355263157896},{'mean': 14.550574712643677},,{'mean': 4.03453125},{'mean': 2.0295312500000002},{'mean': 295.9298245614035}
"(1847195.889165, 6308540.207705)",6,Brno-Úvoz (hot spot),,{'mean': 25.258666666666667},{'mean': 15.62356687898089},,{'mean': 13.488717948717948},{'mean': 6.535897435897436},{'mean': 286.93055555555554}
"(1847195.889165, 6308540.207705)",7,Brno-Úvoz (hot spot),,{'mean': 35.82297297297298},{'mean': 19.0},,{'mean': 14.334814814814814},{'mean': 2.7655555555555558},{'mean': 288.6502732240437}
"(1847195.889165, 6308540.207705)",8,Brno-Úvoz (hot spot),,{'mean': 37.85127272727273},{'mean': 17.406620209059238},,{'mean': 15.861068702290078},{'mean': 4.8706106870229},{'mean': 322.80192307692306}
"(1847195.889165, 6308540.207705)",9,Brno-Úvoz (hot spot),,{'mean': 33.21949152542373},{'mean': 25.22926829268293},,{'mean': 24.65},{'mean': 12.567741935483872},{'mean': 320.41129032258067}
"(1852636.517958, 6310255.883808)",5,Brno-Svatoplukova,,{'mean': 28.36087636932707},{'mean': 17.217057902973398},,{'mean': 17.448124999999997},{'mean': 9.5828125},{'mean': 351.3734375}
"(1852636.517958, 6310255.883808)",6,Brno-Svatoplukova,,{'mean': 26.212738853503183},{'mean': 19.978980891719743},,{'mean': 17.64769230769231},{'mean': 8.337435897435897},{'mean': 366.74301675977654}
